laser wavelength:1550nm,set power:1.0dBm,grid dimension:31
side,x position,y position,power
left,327.284135,-4477.9879439999995,-28.6567307
left,327.28085999999996,-4477.487086,-28.3725815
left,327.284184,-4476.987016,-28.1125755
left,327.284363,-4476.4896,-27.8690147
left,327.28250199999997,-4475.985876,-27.6340523
left,327.28263599999997,-4475.48642,-27.4103661
left,327.282898,-4474.987199,-27.2641869
left,327.282565,-4474.487783,-27.0761871
left,327.282116,-4473.987002,-26.8915329
left,327.283115,-4473.48632,-26.7347679
left,327.281771,-4472.988104999999,-26.5892181
left,327.28326699999997,-4472.487692,-26.4557037
left,327.283589,-4471.986758,-26.3489685
left,327.282486,-4471.486433,-26.377243
left,327.28378699999996,-4470.988224,-26.3056984
left,327.283249,-4470.487842,-26.2570229
left,327.28326999999996,-4469.9848329999995,-26.2301788
left,327.283218,-4469.487676,-26.2176895
left,327.283982,-4468.986223,-26.245182
left,327.283668,-4468.487403,-26.3041077
left,327.28443999999996,-4467.988899,-26.5334129
left,327.28432699999996,-4467.486873,-26.6732178
left,327.282936,-4466.986961,-26.8318405
left,327.284539,-4466.487733999999,-27.0347366
left,327.282963,-4465.986790999999,-27.27845
left,327.282689,-4465.487091,-27.5780792
left,327.284331,-4464.9878,-28.0923882
left,327.281989,-4464.4865549999995,-28.4792404
left,327.283256,-4463.984777,-28.9004631
left,327.284973,-4463.485767,-29.3722954
left,327.284472,-4462.988001,-29.9110222
left,327.784246,-4477.985258,-27.693985
left,327.783394,-4477.486172,-27.396534
left,327.782449,-4476.987741999999,-27.1149902
left,327.78522,-4476.487212999999,-26.84058
left,327.782328,-4475.987690999999,-26.5838585
left,327.783654,-4475.487461,-26.4397545
left,327.782182,-4474.987075,-26.2178879
left,327.783259,-4474.485745999999,-26.0129776
left,327.78439499999996,-4473.989490999999,-25.8170471
left,327.783994,-4473.487711,-25.6470718
left,327.782147,-4472.98655,-25.4900169
left,327.78288799999996,-4472.487633,-25.3564835
left,327.782761,-4471.981065,-25.2427025
left,327.783817,-4471.4887069999995,-25.2769547
left,327.78187499999996,-4470.9881749999995,-25.2017326
left,327.783685,-4470.4872589999995,-25.1457825
left,327.784016,-4469.985828,-25.1213913
left,327.782421,-4469.487731,-25.1224442
left,327.78310799999997,-4468.987408,-25.1607018
left,327.783521,-4468.488146,-25.3603783
left,327.783505,-4467.986564,-25.4446945
left,327.784742,-4467.486061,-25.5688667
left,327.781633,-4466.987502999999,-25.7338524
left,327.78306299999997,-4466.487609,-25.9555092
left,327.783678,-4465.98552,-26.2246971
left,327.78547399999997,-4465.487136,-26.5524902
left,327.784947,-4464.987089,-27.0148506
left,327.782822,-4464.487362,-27.4073677
left,327.78342399999997,-4463.986551999999,-27.8603439
left,327.78362599999997,-4463.487089,-28.3759499
left,327.78367599999996,-4462.986446,-28.9655647
left,328.284063,-4477.985684,-26.7395439
left,328.283598,-4477.488673,-26.4135971
left,328.281992,-4476.98604,-26.1150665
left,328.284198,-4476.486761,-25.8408775
left,328.28449,-4475.9858779999995,-25.5864983
left,328.283015,-4475.485525,-25.3410683
left,328.28263999999996,-4474.988692,-25.1957245
left,328.282718,-4474.486014,-24.9859352
left,328.28306299999997,-4473.9876429999995,-24.7893906
left,328.282003,-4473.486508,-24.6197357
left,328.28696099999996,-4472.987998,-24.4712639
left,328.283238,-4472.487580999999,-24.3528442
left,328.28285,-4471.985998,-24.2545013
left,328.284045,-4471.486492999999,-24.2356644
left,328.28470799999997,-4470.989242,-24.1646614
left,328.283555,-4470.4868719999995,-24.1265793
left,328.283684,-4469.986729,-24.115139
left,328.28252599999996,-4469.486259,-24.1303444
left,328.28332,-4468.985903,-24.1889572
left,328.284939,-4468.484543,-24.2808723
left,328.284195,-4467.98826,-24.4353027
left,328.28263999999996,-4467.487153,-24.5789604
left,328.28301999999996,-4466.98752,-24.7784309
left,328.28376199999997,-4466.486594,-25.0363884
left,328.28513499999997,-4465.987339,-25.349823
left,328.282604,-4465.4877639999995,-25.7176361
left,328.281666,-4464.987754,-26.0826569
left,328.28279,-4464.486848,-26.5240784
left,328.283091,-4463.987101,-27.0292587
left,328.28301,-4463.487553999999,-27.6030083
left,328.281298,-4462.986935,-28.2448082
left,328.78385099999997,-4477.984673,-25.7668343
left,328.784456,-4477.486586999999,-25.434185
left,328.784667,-4476.986908,-25.1374168
left,328.783072,-4476.486457999999,-24.8733063
left,328.782496,-4475.988597,-24.6142502
left,328.783488,-4475.487408999999,-24.4474068
left,328.782854,-4474.98863,-24.2199669
left,328.78375,-4474.48725,-24.014698
left,328.783802,-4473.986482,-23.8317947
left,328.782844,-4473.48712,-23.6798477
left,328.78135699999996,-4472.98601,-23.5441208
left,328.78436999999997,-4472.488238,-23.4402504
left,328.783475,-4471.985323,-23.3496933
left,328.783213,-4471.488275,-23.2831688
left,328.78294999999997,-4470.987217,-23.2309608
left,328.783707,-4470.486811,-23.2094917
left,328.783791,-4469.987085,-23.216732
left,328.78337,-4469.487359,-23.2556458
left,328.782853,-4468.988897,-23.330986
left,328.783647,-4468.4866329999995,-23.4053001
